timestamp,user,ip,query,label
2025-08-20 11:29:46,teacher,192.168.1.5,UPDATE courses SET seats = seats - 1 WHERE course_id=337;,0
2025-08-20 11:29:47,admin,192.168.1.5,"SELECT name, grade FROM grades WHERE student_id=56;",0
2025-08-20 11:29:48,teacher,192.168.1.5,SELECT * FROM secret_data;,1
2025-08-20 11:29:49,student,192.168.1.5,UPDATE courses SET seats = seats - 1 WHERE course_id=290;,0
2025-08-20 11:29:50,admin,10.0.0.25,"SELECT name, grade FROM grades WHERE student_id=17;",0
2025-08-20 11:29:51,teacher,192.168.1.5,SELECT * FROM users WHERE username='admin' OR '1'='1';,1
2025-08-20 11:29:52,teacher,192.168.1.10,UPDATE courses SET seats = seats - 1 WHERE course_id=346;,0
2025-08-20 11:29:53,teacher,10.0.0.25,UPDATE users SET password='hacked' WHERE username='admin';,1
2025-08-20 11:29:54,admin,192.168.1.10,"SELECT name, grade FROM grades WHERE student_id=342;",0
2025-08-20 11:29:55,student,192.168.1.5,DROP TABLE students;,1
2025-08-20 11:29:56,admin,192.168.1.5,"SELECT name, grade FROM grades WHERE student_id=55;",0
2025-08-20 11:29:57,student,10.0.0.25,DELETE FROM temp_data WHERE record_id=417;,0
2025-08-20 11:29:58,teacher,10.0.0.25,DELETE FROM temp_data WHERE record_id=370;,0
2025-08-20 11:29:59,admin,192.168.1.5,"INSERT INTO grades (student_id, course, grade) VALUES (395, 'CS101', 'A');",0
2025-08-20 11:30:00,admin,10.0.0.25,SELECT * FROM students WHERE id=416;,0
2025-08-20 11:30:01,teacher,192.168.1.10,SELECT * FROM users WHERE username='admin' OR '1'='1';,1
2025-08-20 11:30:02,admin,192.168.1.5,DROP TABLE students;,1
2025-08-20 11:30:03,teacher,192.168.1.5,"SELECT name, grade FROM grades WHERE student_id=443;",0
2025-08-20 11:30:04,teacher,10.0.0.25,DELETE FROM temp_data WHERE record_id=43;,0
2025-08-20 11:30:05,admin,192.168.1.10,DELETE FROM temp_data WHERE record_id=127;,0
2025-08-20 11:30:06,student,192.168.1.10,UPDATE users SET password='hacked' WHERE username='admin';,1
2025-08-20 11:30:07,teacher,10.0.0.25,DELETE FROM temp_data WHERE record_id=7;,0
2025-08-20 11:30:08,admin,192.168.1.10,"SELECT name, grade FROM grades WHERE student_id=473;",0
2025-08-20 11:30:09,teacher,10.0.0.25,"INSERT INTO grades (student_id, course, grade) VALUES (320, 'CS101', 'A');",0
2025-08-20 11:30:10,student,10.0.0.25,"SELECT name, grade FROM grades WHERE student_id=216;",0
2025-08-20 11:30:11,student,192.168.1.10,"INSERT INTO grades (student_id, course, grade) VALUES (252, 'CS101', 'A');",0
2025-08-20 11:30:12,student,10.0.0.25,"INSERT INTO grades (student_id, course, grade) VALUES (104, 'CS101', 'A');",0
2025-08-20 11:30:13,teacher,10.0.0.25,"INSERT INTO grades (student_id, course, grade) VALUES (359, 'CS101', 'A');",0
2025-08-20 11:30:14,student,10.0.0.25,"INSERT INTO grades (student_id, course, grade) VALUES (307, 'CS101', 'A');",0
2025-08-20 11:30:15,student,10.0.0.25,SELECT * FROM secret_data;,1
2025-08-20 11:30:16,teacher,10.0.0.25,UPDATE courses SET seats = seats - 1 WHERE course_id=55;,0
2025-08-20 11:30:17,student,192.168.1.5,DROP TABLE students;,1
2025-08-20 11:30:18,student,192.168.1.5,SELECT * FROM users WHERE username='admin' OR '1'='1';,1
2025-08-20 11:30:19,student,192.168.1.10,SELECT * FROM students WHERE id=47;,0
2025-08-20 11:30:20,admin,192.168.1.5,"SELECT name, grade FROM grades WHERE student_id=171;",0
2025-08-20 11:30:21,teacher,192.168.1.5,SELECT * FROM students WHERE id=417;,0
2025-08-20 11:30:22,teacher,10.0.0.25,SELECT * FROM users WHERE username='admin' OR '1'='1';,1
2025-08-20 11:30:23,student,192.168.1.5,SELECT * FROM students WHERE id=426;,0
2025-08-20 11:30:24,student,192.168.1.5,UPDATE courses SET seats = seats - 1 WHERE course_id=41;,0
2025-08-20 11:30:25,student,10.0.0.25,DELETE FROM temp_data WHERE record_id=259;,0
2025-08-20 11:30:26,admin,192.168.1.10,UPDATE courses SET seats = seats - 1 WHERE course_id=233;,0
2025-08-20 11:30:27,admin,192.168.1.5,SELECT * FROM students WHERE id=332;,0
